,Water_(g),Lipid_Tot_(g),Carbohydrt_(g),A,0,1
148,38.98,32.62,1.91,A,CHEESE,"['LOW-SODIUM', 'CHEDDAR', 'OR', 'COLBY']"
149,75.2,10.7,1.27,A,EGG,"['WHL', 'RAW', 'FRZ', 'PAST']"
150,88.97,0.04,1.26,A,EGG,"['WHITE', 'RAW', 'FRZ', 'PAST']"
151,5.8,0.0,7.8,A,EGG,"['WHITE', 'DRIED']"
152,89.21,1.98,4.8,A,MILK,"['RED', 'FAT', 'FLUID', '2%', 'MILKFAT', 'WO/', 'ADDED', 'VIT', 'A', '&', 'VIT', 'D']"
153,89.92,0.97,4.99,A,MILK,"['FLUID', '1%', 'FAT', 'WO/', 'ADDED', 'VIT', 'A', '&', 'VIT', 'D']"
154,71.0,14.1,7.0,A,SOUR,"['CREAM', 'REDUCED', 'FAT']"
155,78.1,10.6,7.1,A,SOUR,"['CREAM', 'LIGHT']"
156,80.6,0.0,15.6,A,SOUR,"['CREAM', 'FAT', 'FREE']"
157,48.2,18.3,2.0,A,USDA,"['COMMODITY', 'CHS', 'CHEDDAR', 'RED', 'FAT']"
158,87.43,0.18,7.5,A,YOGURT,"['VAN', 'OR', 'LEM', 'FLAV', 'NONFAT', 'MILK', 'SWTND', 'W/LOW-CALORIE', 'SWTNR']"
159,8.6,5.0,40.0,A,PARMESAN,"['CHS', 'TOPPING', 'FAT', 'FREE']"
160,71.87,1.0,7.66,A,CHEESE,"['CREAM', 'FAT', 'FREE']"
161,71.57,0.0,23.53,A,YOGURT,"['CHOC', 'NONFAT', 'MILK']"
162,51.5,21.0,9.2,A,KRAFT,"['CHEEZ', 'WHIZ', 'PAST', 'PROCESS', 'CHS', 'SAU']"
163,51.5,9.5,16.2,A,KRAFT,"['CHEEZ', 'WHIZ', 'LT', 'PAST', 'PROCESS', 'CHS', 'PRODUCT']"
164,58.0,1.0,11.7,A,KRAFT,"['FREE', 'SINGLES', 'AMERICAN', 'NONFAT', 'PAST', 'PROCESS', 'CHS', 'PRODUCT']"
165,45.8,22.0,9.8,A,KRAFT,"['VELVEETA', 'PAST', 'PROCESS', 'CHS', 'SPRD']"
166,51.3,10.6,11.8,A,KRAFT,"['VELVEETA', 'LT', 'RED', 'FAT', 'PAST', 'PROCESS', 'CHS', 'PRODUCT']"
167,76.2,12.0,6.5,A,KRAFT,"[""BREAKSTONE'S"", 'RED', 'FAT', 'SOUR', 'CRM']"
168,77.7,1.3,15.1,A,KRAFT,"[""BREAKSTONE'S"", 'FREE', 'FAT', 'FREE', 'SOUR', 'CRM']"
169,86.0,1.4,9.0,A,CREAM,"['HALF', '&', 'HALF', 'FAT', 'FREE']"
170,66.44,5.0,25.0,A,REDDI,"['WIP', 'FAT', 'FREE', 'WHIPPED', 'TOPPING']"
171,82.17,1.9,12.13,A,MILK,"['CHOC', 'FLUID', 'COMM', 'RED', 'FAT', 'W/', 'ADDED', 'CA']"
172,74.1,1.41,18.6,A,YOGURT,"['FRUIT', 'LOFAT', 'W/LO', 'CAL', 'SWEETENER']"
173,50.6,20.0,1.37,A,CHEESE,"['PARMESAN', 'DRY', 'GRATED', 'RED', 'FAT']"
174,50.06,13.5,35.07,A,CREAM,"['SUB', 'FLAV', 'LIQ']"
175,1.52,21.47,75.42,A,CREAM,"['SUB', 'FLAV', 'PDR']"
176,50.6,17.6,3.5,A,CHEESE,"['PROVOLONE', 'RED', 'FAT']"
177,48.2,19.4,3.41,A,CHEESE,"['MEXICAN', 'BLEND', 'RED', 'FAT']"
178,2.78,34.5,23.97,A,EGG,"['MIX', 'USDA', 'CMDTY']"
179,88.13,3.27,4.78,A,MILK,"['WHL', '3.25%', 'MILKFAT', 'WO/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
180,2.47,26.71,38.42,A,MILK,"['DRY', 'WHL', 'WO/', 'ADDED', 'VITAMIN', 'D']"
181,74.04,7.56,10.04,A,MILK,"['CND', 'EVAP', 'WO/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
182,51.8,14.1,10.6,A,CHEESE,"['PRODUCT', 'PAST', 'PROCESS', 'AMERICAN', 'RED', 'FAT', 'FORT', 'W/', 'VIT', 'D']"
183,75.3,1.15,18.64,A,YOGURT,"['FRUIT', 'LOFAT', '9', 'GRAMS', 'PROT', 'PER', '8', 'OZ', 'FORT', 'W/', 'VITAMIN', 'D']"
184,74.48,1.08,19.05,A,YOGURT,"['FRUIT', 'LOFAT', '10', 'GRAMS', 'PROT', 'PER', '8', 'OZ', 'FORT', 'W/', 'VITAMIN', 'D']"
185,75.4,0.2,19.0,A,YOGURT,"['FRUIT', 'VAR', 'NONFAT', 'FORT', 'W/', 'VITAMIN', 'D']"
186,74.1,1.41,18.6,A,YOGURT,"['FRUIT', 'LOWFAT', 'W/', 'LO', 'CAL', 'SWTNR', 'FORT', 'W/', 'VITAMIN', 'D']"
187,79.0,1.25,13.8,A,YOGURT,"['VANILLA', 'LOFAT', '11', 'GRAMS', 'PROT', 'PER', '8', 'OZ', 'FORT', 'W/', 'VIT', 'D']"
188,87.43,0.18,7.5,A,YOGURT,"['VAN/LEM', 'FLAV', 'NONFAT', 'MILK', 'W/', 'LO-CAL', 'SWTNR', 'FORT', 'W/VIT', 'D']"
189,71.57,0.0,23.53,A,YOGURT,"['CHOC', 'NONFAT', 'MILK', 'FORT', 'W/', 'VITAMIN', 'D']"
190,15.0,17.14,18.5,A,PROTEIN,"['SUPP', 'MILK', 'BSD', 'MUSCLE', 'MILK', 'PDR']"
191,12.0,12.0,22.0,A,PROTEIN,"['SUPP', 'MILK', 'BSD', 'MUSCLE', 'MILK', 'LT', 'PDR']"
192,28.71,7.35,55.35,A,DULCE,"['DE', 'LECHE']"
193,87.0,0.0,2.0,A,EGG,"['SUB', 'LIQ', 'OR', 'FRZ', 'FAT', 'FREE']"
194,42.17,24.35,2.04,A,CHEESE,"['DRY', 'WHITE', 'QUESO', 'SECO']"
195,51.42,23.82,2.98,A,CHEESE,"['FRSH', 'QUESO', 'FRESCO']"
196,48.7,24.31,2.53,A,CHEESE,"['WHITE', 'QUESO', 'BLANCO']"
197,87.91,3.31,4.88,A,MILK,"['BTTRMLK', 'FLUID', 'WHL']"
198,79.0,1.25,13.8,A,YOGURT,"['VANILLA', 'FLAVOR', 'LOWFAT', 'MILK', 'SWTND', 'W/', 'LO', 'CAL', 'SWTNR']"
199,73.5,0.8,19.7,A,YOGURT,"['FRZ', 'FLAVORS', 'NOT', 'CHOC', 'NONFAT', 'MILK', 'W/', 'LOW-CALORIE', 'SWTNR']"
200,59.8,13.0,22.2,A,ICE,"['CRM', 'SOFT', 'SERVE', 'CHOC']"
201,46.3,24.1,24.5,A,ICE,"['CRM', 'BAR', 'OR', 'STK', 'CHOC', 'COVERED']"
202,48.9,8.57,37.14,A,ICE,"['CRM', 'SNDWCH']"
203,48.7,7.4,39.6,A,ICE,"['CRM', 'COOKIE', 'SNDWCH']"
204,37.43,21.88,34.38,A,ICE,"['CRM', 'CONE', 'CHOC', 'COVERED', 'W/', 'NUTS', 'FLAVORS', 'OTHER', 'THAN', 'CHOC']"
205,52.63,3.04,39.64,A,ICE,"['CRM', 'SNDWCH', 'MADE', 'W/', 'LT', 'ICE', 'CRM', 'VANILLA']"
206,48.13,2.86,42.86,A,ICE,"['CRM', 'SNDWCH', 'VANILLA', 'LT', 'NO', 'SUGAR', 'ADDED']"
207,65.52,0.0,27.94,A,FAT,"['FREE', 'ICE', 'CRM', 'NO', 'SUGAR', 'ADDED', 'FLAVORS', 'OTHER', 'THAN', 'CHOC']"
208,61.43,1.47,33.09,A,MILK,"['DSSRT', 'BAR', 'FRZ', 'MADE', 'FROM', 'LOWFAT', 'MILK']"
209,79.74,3.08,11.88,A,NUTRITIONAL,"['SUPP', 'FOR', 'PEOPLE', 'W/', 'DIABETES', 'LIQ']"
210,42.48,28.51,1.75,A,CHEESE,"['MEXICAN', 'BLEND']"
211,43.79,22.49,8.7,A,DAIRY,"['CHS', 'PRODUCT', 'PAST', 'PROCESS', 'AMERICAN', 'VITAMIN', 'D', 'FORT']"
212,39.61,31.79,3.7,A,CHEESE,"['PAST', 'PROCESS', 'AMERICAN', 'WO/', 'ADDED', 'VITAMIN', 'D']"
213,44.0,25.63,8.56,A,CHEESE,"['FD', 'PAST', 'PROCESS', 'AMERICAN', 'WO/', 'ADDED', 'VITAMIN', 'D']"
214,67.83,10.07,0.83,A,EGG,"['WHL', 'RAW', 'FRZ', 'SALTED', 'PAST']"
215,85.1,0.39,3.6,A,YOGURT,"['GREEK', 'PLN', 'NONFAT']"
216,6.53,0.48,4.72,A,EGG,"['WHITE', 'DRIED', 'STABILIZED', 'GLUCOSE', 'RED']"
217,61.82,8.88,10.71,A,CHEESE,"['SPRD', 'AMERICAN', 'OR', 'CHEDDAR', 'CHS', 'BASE', 'RED', 'FAT']"
218,44.29,20.41,4.06,A,CHEESE,"['CHEDDAR', 'RED', 'FAT']"
219,68.92,3.69,23.15,A,ICE,"['CRM', 'LT', 'SOFT', 'SERVE', 'CHOC']"
220,35.48,25.26,37.12,A,ICE,"['CRM', 'BAR', 'STK', 'OR', 'NUGGET', 'W/', 'CRUNCH', 'COATING']"
221,57.0,0.0,7.14,A,CHEESE,"['CHEDDAR', 'NONFAT', 'OR', 'FAT', 'FREE']"
222,63.6,0.0,3.4,A,CHEESE,"['SWISS', 'NONFAT', 'OR', 'FAT', 'FREE']"
223,38.0,30.0,3.97,A,QUESO,['COTIJA']
224,36.15,33.82,2.13,A,CHEESE,"['CHEDDAR', 'SHARP', 'SLICED']"
225,44.81,19.72,8.06,A,CHEESE,"['MOZZARELLA', 'LO', 'MOIST', 'PART-SKIM', 'SHREDDED']"
226,82.03,0.22,8.09,A,YOGURT,"['GREEK', 'NON', 'FAT', 'VANILLA', 'CHOBANI']"
227,76.6,2.92,11.67,A,YOGURT,"['GREEK', 'STRAWBERRY', 'DANNON', 'OIKOS']"
228,78.5,0.14,12.72,A,YOGURT,"['GREEK', 'NON', 'FAT', 'VANILLA', 'DANNON', 'OIKOS']"
229,78.63,0.22,12.53,A,YOGURT,"['GREEK', 'NON', 'FAT', 'STRAWBERRY', 'DANNON', 'OIKOS']"
230,79.62,0.12,11.62,A,YOGURT,"['GREEK', 'NON', 'FAT', 'STRAWBERRY', 'CHOBANI']"
231,8.46,8.69,72.12,A,ALLSPICE,['GROUND']
232,9.54,15.9,50.02,A,ANISE,['SEED']
233,10.35,4.07,47.75,A,SPICES,"['BASIL', 'DRIED']"
234,5.44,8.36,74.97,A,SPICES,"['BAY', 'LEAF']"
235,9.87,14.59,49.9,A,CARAWAY,['SEED']
236,8.28,6.7,68.47,A,SPICES,['CARDAMOM']
237,6.04,25.27,41.35,A,CELERY,['SEED']
238,7.2,3.9,49.1,A,CHERVIL,['DRIED']
239,10.75,14.28,49.7,A,CHILI,['POWDER']
240,10.58,1.24,80.59,A,CINNAMON,['GROUND']
241,9.87,13.0,65.53,A,CLOVES,['GROUND']
242,7.3,4.78,52.1,A,CORIANDER,"['LEAF', 'DRIED']"
243,8.86,17.77,54.99,A,CORIANDER,['SEED']
244,8.06,22.27,44.24,A,CUMIN,['SEED']
245,8.8,14.01,55.83,A,CURRY,['POWDER']
246,7.7,14.54,55.17,A,DILL,['SEED']
247,7.3,4.36,55.82,A,DILL,"['WEED', 'DRIED']"
